"AnnoMese";"Postazione";"Strada";"Corsia";"Giorni Validi";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi";"TGM - Totale";"TGM - Non Classificato";"TGM - Leggeri";"TGM - Pesanti";"TGM - Diurno";"TGM - Notturno";"TGM - Feriali";"TGM - Festivi"
"2019/07";"7";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"0 - DA PORRETTA TERME A FERRARA";"31";"123.691";"16";"120.558";"3.117";"94.978";"28.713";"89.100";"34.591";"3.990";"1";"3.889";"101";"3.064";"926";"3.874";"4.324"
"2019/07";"7";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"1 - DA FERRARA A PORRETTA TERME";"31";"125.926";"12";"122.895";"3.019";"96.482";"29.444";"90.528";"35.398";"4.062";"0";"3.964";"97";"3.112";"950";"3.936";"4.425"
"2019/07";"52";"SP 253 tra Sesto Imolese e Medicina";"0 - DA BOLOGNA A RAVENNA";"31";"116.921";"0";"106.835";"10.086";"89.701";"27.220";"84.236";"32.685";"3.772";"0";"3.446";"325";"2.894";"878";"3.662";"4.086"
"2019/07";"52";"SP 253 tra Sesto Imolese e Medicina";"1 - DA RAVENNA A BOLOGNA";"31";"109.857";"0";"100.023";"9.834";"78.528";"31.329";"79.664";"30.193";"3.544";"0";"3.227";"317";"2.533";"1.011";"3.464";"3.774"
"2019/07";"98";"SP 302R tra Brisighella e Marradi";"0 - DA CONFINE REGIONALE TOSCANA A FAENZA";"31";"55.023";"2";"53.036";"1.985";"38.874";"16.149";"39.381";"15.642";"1.775";"0";"1.711";"64";"1.254";"521";"1.712";"1.955"
"2019/07";"98";"SP 302R tra Brisighella e Marradi";"1 - DA FAENZA A CONFINE REGIONALE TOSCANA";"31";"55.707";"5";"53.728";"1.974";"40.447";"15.260";"39.801";"15.906";"1.797";"0";"1.733";"64";"1.305";"492";"1.730";"1.988"
"2019/07";"152";"SP 569 tra Innesto tangenziale Bologna e uscita Zola Predosa (Gesso/Rivabella)";"0 - DA BAZZANO A CASALECCHIO DI RENO";"31";"549.861";"24";"514.857";"34.980";"384.486";"165.375";"417.791";"132.070";"17.737";"1";"16.608";"1.128";"12.403";"5.335";"18.165";"16.509"
"2019/07";"152";"SP 569 tra Innesto tangenziale Bologna e uscita Zola Predosa (Gesso/Rivabella)";"1 - DA BAZZANO A CASALECCHIO DI RENO";"31";"361.173";"22";"357.284";"3.867";"285.347";"75.826";"297.851";"63.322";"11.651";"1";"11.525";"125";"9.205";"2.446";"12.950";"7.915"
"2019/07";"152";"SP 569 tra Innesto tangenziale Bologna e uscita Zola Predosa (Gesso/Rivabella)";"2 - DA CASALECCHIO DI RENO A BAZZANO";"31";"527.848";"56";"493.999";"33.793";"371.745";"156.103";"403.193";"124.655";"17.027";"2";"15.935";"1.090";"11.992";"5.036";"17.530";"15.582"
"2019/07";"152";"SP 569 tra Innesto tangenziale Bologna e uscita Zola Predosa (Gesso/Rivabella)";"3 - DA CASALECCHIO DI RENO A BAZZANO";"31";"419.869";"11";"415.633";"4.225";"326.272";"93.597";"345.161";"74.708";"13.544";"0";"13.408";"136";"10.525";"3.019";"15.007";"9.339"
"2019/07";"153";"Via Porrettana (ex SS 64) tra Bologna e Pontecchio Marconi";"0 - DA PORRETTA TERME A FERRARA";"30";"151.810";"6";"148.878";"2.926";"109.809";"42.001";"120.316";"31.494";"5.060";"0";"4.963";"98";"3.660";"1.400";"5.231";"4.499"
"2019/07";"153";"Via Porrettana (ex SS 64) tra Bologna e Pontecchio Marconi";"1 - DA FERRARA A PORRETTA TERME";"30";"167.033";"8";"163.978";"3.047";"120.530";"46.503";"133.385";"33.648";"5.568";"0";"5.466";"102";"4.018";"1.550";"5.799";"4.807"
"2019/07";"154";"Tra Rastignano e Pian di Macina (SP85 Fondo Valle Savena)";"0 - DA BIVIO LOIANO/MONZUNO A BOLOGNA";"31";"208.743";"17";"204.334";"4.392";"154.314";"54.429";"163.204";"45.539";"6.734";"1";"6.591";"142";"4.978";"1.756";"7.096";"5.692"
"2019/07";"154";"Tra Rastignano e Pian di Macina (SP85 Fondo Valle Savena)";"1 - DA BOLOGNA A BIVIO LOIANO/MONZUNO";"31";"173.761";"26";"169.877";"3.858";"126.149";"47.612";"133.179";"40.582";"5.605";"1";"5.480";"124";"4.069";"1.536";"5.790";"5.073"
"2019/07";"155";"Via Emilia tra San Lazzaro e Idice";"0 - DA RIMINI A PIACENZA";"31";"238.772";"9";"232.410";"6.353";"171.785";"66.987";"185.324";"53.448";"7.702";"0";"7.497";"205";"5.541";"2.161";"8.058";"6.681"
"2019/07";"155";"Via Emilia tra San Lazzaro e Idice";"1 - DA PIACENZA A RIMINI";"31";"188.000";"14";"182.487";"5.499";"136.827";"51.173";"147.271";"40.729";"6.065";"0";"5.887";"177";"4.414";"1.651";"6.403";"5.091"
"2019/07";"156";"SP 253 tra la località Villanova e inizio variante Castenaso";"0 - DA BOLOGNA A RAVENNA";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019/07";"156";"SP 253 tra la località Villanova e inizio variante Castenaso";"1 - DA RAVENNA A BOLOGNA";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019/07";"157";"Via San Donato (ex SP 5) tra Granarolo dell'Emilia e Quarto Inferiore";"0 - DA BOLOGNA A MOLINELLA";"31";"158.211";"8";"154.607";"3.596";"113.186";"45.025";"125.366";"32.845";"5.104";"0";"4.987";"116";"3.651";"1.452";"5.451";"4.106"
"2019/07";"157";"Via San Donato (ex SP 5) tra Granarolo dell'Emilia e Quarto Inferiore";"1 - DA MOLINELLA A BOLOGNA";"31";"150.336";"6";"146.687";"3.643";"113.063";"37.273";"119.506";"30.830";"4.850";"0";"4.732";"118";"3.647";"1.202";"5.196";"3.854"
"2019/07";"158";"SS 64 tra Bologna e Lovoleto";"0 - DA PORRETTA TERME A FERRARA";"31";"154.200";"16";"145.469";"8.715";"110.163";"44.037";"128.100";"26.100";"4.974";"1";"4.693";"281";"3.554";"1.421";"5.570";"3.263"
"2019/07";"158";"SS 64 tra Bologna e Lovoleto";"1 - DA FERRARA A PORRETTA TERME";"31";"169.763";"20";"159.816";"9.927";"126.392";"43.371";"141.965";"27.798";"5.476";"1";"5.155";"320";"4.077";"1.399";"6.172";"3.475"
"2019/07";"160";"SP 18 tra Bargellino e Calderara di Reno (c/o Variante SP18)";"0 - DA CALDERARA DI RENO A CASTEL D'ARGILE";"31";"238.706";"3";"219.687";"19.016";"184.657";"54.049";"201.689";"37.017";"7.700";"0";"7.087";"613";"5.957";"1.744";"8.769";"4.627"
"2019/07";"160";"SP 18 tra Bargellino e Calderara di Reno (c/o Variante SP18)";"1 - DA CASTEL D'ARGILE A CALDERARA DI RENO";"31";"233.196";"18";"213.686";"19.492";"172.843";"60.353";"197.033";"36.163";"7.522";"1";"6.893";"629";"5.576";"1.947";"8.567";"4.520"
"2019/07";"161";"SP 568 da Tavernelle all'intersezione della SP3";"0 - DA SAN FELICE SUL PANARO A BOLOGNA";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019/07";"161";"SP 568 da Tavernelle all'intersezione della SP3";"1 - DA BOLOGNA A SAN FELICE SUL PANARO";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019/07";"177";"NSA 313 - Prosecuzione tangenziale di Bologna complanare sud alla A 14 nel tratto San Lazzaro/Idice";"0 - DA BOLOGNA A OZZANO EMILIA";"31";"355.992";"16";"336.147";"19.829";"254.005";"101.987";"271.541";"84.451";"11.484";"1";"10.843";"640";"8.194";"3.290";"11.806";"10.556"
"2019/07";"177";"NSA 313 - Prosecuzione tangenziale di Bologna complanare sud alla A 14 nel tratto San Lazzaro/Idice";"1 - DA BOLOGNA A OZZANO EMILIA";"31";"158.736";"6";"156.965";"1.765";"127.119";"31.617";"122.714";"36.022";"5.121";"0";"5.063";"57";"4.101";"1.020";"5.335";"4.503"
"2019/07";"215";"SP 3_1 tra accesso interporto Bologna e viadotto A 13";"0 - DA SAN GIOVANNI IN PERSICETO A GRANAROLO DELL'EMILIA";"25";"293.598";"0";"229.072";"64.526";"195.044";"98.554";"253.399";"40.199";"11.744";"0";"9.163";"2.581";"7.802";"3.942";"13.337";"6.700"
"2019/07";"215";"SP 3_1 tra accesso interporto Bologna e viadotto A 13";"1 - DA GRANAROLO DELL'EMILIA A SAN GIOVANNI IN PERSICETO";"25";"278.635";"0";"216.900";"61.735";"181.300";"97.335";"241.850";"36.785";"11.145";"0";"8.676";"2.469";"7.252";"3.893";"12.729";"6.131"
"2019/07";"243";"SP 27 tra Ponte Samoggia e Muffa";"0 - DA PONTE SAMOGGIA A CRESPELLANO";"31";"107.428";"1";"102.292";"5.135";"78.934";"28.494";"84.572";"22.856";"3.465";"0";"3.300";"166";"2.546";"919";"3.677";"2.857"
"2019/07";"243";"SP 27 tra Ponte Samoggia e Muffa";"1 - DA CRESPELLANO A PONTE SAMOGGIA";"31";"106.019";"10";"101.401";"4.608";"75.350";"30.669";"83.605";"22.414";"3.420";"0";"3.271";"149";"2.431";"989";"3.635";"2.802"
"2019/07";"244";"SP 569 tra Pragatto e innesto variante Ponte Ronca";"0 - DA BAZZANO A CASALECCHIO DI RENO";"31";"167.819";"4";"162.843";"4.972";"127.988";"39.831";"131.605";"36.214";"5.414";"0";"5.253";"160";"4.129";"1.285";"5.722";"4.527"
"2019/07";"244";"SP 569 tra Pragatto e innesto variante Ponte Ronca";"1 - DA CASALECCHIO DI RENO A BAZZANO";"31";"137.395";"14";"133.160";"4.221";"103.207";"34.188";"109.306";"28.089";"4.432";"0";"4.295";"136";"3.329";"1.103";"4.752";"3.511"
"2019/07";"246";"SP 255 da Decima a San Giovanni in Persiceto";"0 - DA MODENA A FERRARA";"31";"204.292";"1";"190.482";"13.809";"149.053";"55.239";"166.143";"38.149";"6.590";"0";"6.145";"445";"4.808";"1.782";"7.224";"4.769"
"2019/07";"246";"SP 255 da Decima a San Giovanni in Persiceto";"1 - DA FERRARA A MODENA";"31";"203.492";"5";"189.439";"14.048";"147.912";"55.580";"165.343";"38.149";"6.564";"0";"6.111";"453";"4.771";"1.793";"7.189";"4.769"
"2019/07";"247";"SP 255 fra Nonantola e Sant'Agata Bolognese";"0 - DA MODENA A FERRARA";"29";"126.966";"7";"110.327";"16.632";"95.332";"31.634";"101.921";"25.045";"4.378";"0";"3.804";"574";"3.287";"1.091";"4.853";"3.131"
"2019/07";"247";"SP 255 fra Nonantola e Sant'Agata Bolognese";"1 - DA FERRARA A MODENA";"29";"122.698";"5";"105.930";"16.763";"90.254";"32.444";"97.158";"25.540";"4.231";"0";"3.653";"578";"3.112";"1.119";"4.627";"3.193"
"2019/07";"251";"SP 610 tra Imola e Casalfiumanese in località Ca' Miseria";"0 - DA INNESTO SS16 (SAN BIAGIO - ARGENTA) A CONFINE REGIONALE TOSCANA";"3";"19.307";"0";"18.211";"1.096";"14.353";"4.954";"19.307";"0";"6.436";"0";"6.070";"365";"4.784";"1.651";"6.436";"#DIV/0"
"2019/07";"251";"SP 610 tra Imola e Casalfiumanese in località Ca' Miseria";"1 - DA CONFINE REGIONALE TOSCANA A INNESTO SS16 (SAN BIAGIO - ARGENTA)";"3";"17.874";"1";"16.757";"1.116";"13.876";"3.998";"17.874";"0";"5.958";"0";"5.586";"372";"4.625";"1.333";"5.958";"#DIV/0"
"2019/07";"252";"SP 3_2 tra Budrio e bivio SP 29 per Medicina";"0 - DA GRANAROLO DELL'EMILIA A MEDICINA";"31";"157.640";"26";"144.848";"12.766";"123.145";"34.495";"119.869";"37.771";"5.085";"1";"4.673";"412";"3.972";"1.113";"5.212";"4.721"
"2019/07";"252";"SP 3_2 tra Budrio e bivio SP 29 per Medicina";"1 - DA MEDICINA A GRANAROLO DELL'EMILIA";"31";"156.352";"15";"143.969";"12.368";"114.211";"42.141";"119.604";"36.748";"5.044";"0";"4.644";"399";"3.684";"1.359";"5.200";"4.594"
"2019/07";"253";"SP 253 dal bivio SP6 per Budrio a Medicina";"0 - DA BOLOGNA A RAVENNA";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019/07";"253";"SP 253 dal bivio SP6 per Budrio a Medicina";"1 - DA RAVENNA A BOLOGNA";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019/07";"254";"SS 9 tra Ozzano Emilia e Castel San Pietro";"0 - DA RIMINI A PIACENZA";"31";"227.514";"4";"219.937";"7.573";"162.391";"65.123";"177.503";"50.011";"7.339";"0";"7.095";"244";"5.238";"2.101";"7.718";"6.251"
"2019/07";"254";"SS 9 tra Ozzano Emilia e Castel San Pietro";"1 - DA PIACENZA A RIMINI";"31";"258.848";"22";"250.114";"8.712";"189.231";"69.617";"198.903";"59.945";"8.350";"1";"8.068";"281";"6.104";"2.246";"8.648";"7.493"
"2019/07";"255";"SS 9 tra Castel San Pietro e Imola";"0 - DA RIMINI A PIACENZA";"29";"273.182";"57";"262.871";"10.254";"200.439";"72.743";"228.540";"44.642";"9.420";"2";"9.065";"354";"6.912";"2.508";"9.937";"7.440"
"2019/07";"255";"SS 9 tra Castel San Pietro e Imola";"1 - DA PIACENZA A RIMINI";"29";"271.067";"62";"261.138";"9.867";"202.985";"68.082";"225.001";"46.066";"9.347";"2";"9.005";"340";"6.999";"2.348";"9.783";"7.678"
"2019/07";"256";"SP 302R tra Faenza (bivio SP 66) e Brisighella";"0 - DA CONFINE REGIONALE TOSCANA A FAENZA";"31";"135.906";"5";"132.023";"3.878";"94.264";"41.642";"100.393";"35.513";"4.384";"0";"4.259";"125";"3.041";"1.343";"4.365";"4.439"
"2019/07";"256";"SP 302R tra Faenza (bivio SP 66) e Brisighella";"1 - DA FAENZA A CONFINE REGIONALE TOSCANA";"31";"133.185";"7";"129.499";"3.679";"93.136";"40.049";"98.074";"35.111";"4.296";"0";"4.177";"119";"3.004";"1.292";"4.264";"4.389"
"2019/07";"257";"SP 302R tra Faenza e il bivio SP 4 (a sud di Russi)";"0 - DA FAENZA A RUSSI";"31";"93.096";"2";"89.457";"3.637";"65.322";"27.774";"73.204";"19.892";"3.003";"0";"2.886";"117";"2.107";"896";"3.183";"2.487"
"2019/07";"257";"SP 302R tra Faenza e il bivio SP 4 (a sud di Russi)";"1 - DA RUSSI A FAENZA";"31";"97.917";"4";"94.426";"3.487";"71.043";"26.874";"76.118";"21.799";"3.159";"0";"3.046";"112";"2.292";"867";"3.309";"2.725"
"2019/07";"274";"SS 64 ai confini provinciali di Bologna e Ferrara";"0 - DA PORRETTA TERME A FERRARA";"29";"114.908";"9";"108.573";"6.326";"86.621";"28.287";"97.644";"17.264";"3.962";"0";"3.744";"218";"2.987";"975";"4.245";"2.877"
"2019/07";"274";"SS 64 ai confini provinciali di Bologna e Ferrara";"1 - DA FERRARA A PORRETTA TERME";"29";"117.777";"10";"111.028";"6.739";"84.598";"33.179";"100.569";"17.208";"4.061";"0";"3.829";"232";"2.917";"1.144";"4.373";"2.868"
"2019/07";"275";"SP 5 dall'intersezione SP 3 a intersezione per Ca' de Fabbri";"0 - DA BOLOGNA A MOLINELLA";"31";"146.177";"2";"139.338";"6.837";"106.497";"39.680";"119.867";"26.310";"4.715";"0";"4.495";"221";"3.435";"1.280";"5.212";"3.289"
"2019/07";"275";"SP 5 dall'intersezione SP 3 a intersezione per Ca' de Fabbri";"1 - DA MOLINELLA A BOLOGNA";"31";"143.539";"10";"136.848";"6.681";"109.504";"34.035";"118.217";"25.322";"4.630";"0";"4.414";"216";"3.532";"1.098";"5.140";"3.165"
"2019/07";"276";"SP 3_2 tra intersezione SP 5 e ponte torrente Idice";"0 - DA GRANAROLO DELL'EMILIA A MEDICINA";"31";"171.905";"0";"155.591";"16.314";"131.771";"40.134";"141.281";"30.624";"5.545";"0";"5.019";"526";"4.251";"1.295";"6.143";"3.828"
"2019/07";"276";"SP 3_2 tra intersezione SP 5 e ponte torrente Idice";"1 - DA MEDICINA A GRANAROLO DELL'EMILIA";"31";"192.008";"0";"174.887";"17.121";"145.737";"46.271";"153.949";"38.059";"6.194";"0";"5.642";"552";"4.701";"1.493";"6.693";"4.757"
"2019/07";"277";"SP 6 tra Budrio e San Martino in Argine";"0 - DA BUDRIO A MOLINELLA";"31";"107.573";"7";"100.645";"6.921";"78.561";"29.012";"87.777";"19.796";"3.470";"0";"3.247";"223";"2.534";"936";"3.816";"2.475"
"2019/07";"277";"SP 6 tra Budrio e San Martino in Argine";"1 - DA MOLINELLA A BUDRIO";"31";"102.315";"6";"95.668";"6.641";"74.817";"27.498";"83.751";"18.564";"3.300";"0";"3.086";"214";"2.413";"887";"3.641";"2.321"
"2019/07";"278";"SP 6 tra Budrio e bivio SP 253";"0 - DA BUDRIO A MOLINELLA";"31";"183.224";"3";"173.990";"9.231";"135.425";"47.799";"150.927";"32.297";"5.910";"0";"5.613";"298";"4.369";"1.542";"6.562";"4.037"
"2019/07";"278";"SP 6 tra Budrio e bivio SP 253";"1 - DA MOLINELLA A BUDRIO";"31";"181.490";"1";"172.431";"9.058";"138.020";"43.470";"149.400";"32.090";"5.855";"0";"5.562";"292";"4.452";"1.402";"6.496";"4.011"
"2019/07";"279";"SP 31 dal bivio SP 28 per Castenaso a Ponte Rizzoli";"0 - DA SAN LAZZARO DI SAVENA A CASTEL GUELFO DI BOLOGNA";"30";"113.879";"6";"105.949";"7.924";"92.112";"21.767";"92.625";"21.254";"3.796";"0";"3.532";"264";"3.070";"726";"4.027";"3.036"
