"AnnoMese";"Postazione";"Strada";"Giorni Validi";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi";"TGM - Totale";"TGM - Non Classificato";"TGM - Leggeri";"TGM - Pesanti";"TGM - Diurno";"TGM - Notturno";"TGM - Feriali";"TGM - Festivi"
"2019/07";"7";"SS 64 tra Porretta Terme e Sambuca Pistoiese";"31";"249.617";"28";"243.453";"6.136";"191.460";"58.157";"179.628";"69.989";"8.052";"1";"7.853";"198";"6.176";"1.876";"7.810";"8.749"
"2019/07";"52";"SP 253 tra Sesto Imolese e Medicina";"31";"226.778";"0";"206.858";"19.920";"168.229";"58.549";"163.900";"62.878";"7.315";"0";"6.673";"643";"5.427";"1.889";"7.126";"7.860"
"2019/07";"98";"SP 302R tra Brisighella e Marradi";"31";"110.730";"7";"106.764";"3.959";"79.321";"31.409";"79.182";"31.548";"3.572";"0";"3.444";"128";"2.559";"1.013";"3.443";"3.944"
"2019/07";"152";"SP 569 tra Innesto tangenziale Bologna e uscita Zola Predosa (Gesso/Rivabella)";"31";"1.858.751";"113";"1.781.773";"76.865";"1.367.850";"490.901";"1.463.996";"394.755";"59.960";"4";"57.477";"2.480";"44.124";"15.836";"63.652";"49.344"
"2019/07";"153";"Via Porrettana (ex SS 64) tra Bologna e Pontecchio Marconi";"30";"318.843";"14";"312.856";"5.973";"230.339";"88.504";"253.701";"65.142";"10.628";"0";"10.429";"199";"7.678";"2.950";"11.030";"9.306"
"2019/07";"154";"Tra Rastignano e Pian di Macina (SP85 Fondo Valle Savena)";"31";"382.504";"43";"374.211";"8.250";"280.463";"102.041";"296.383";"86.121";"12.339";"1";"12.071";"266";"9.047";"3.292";"12.886";"10.765"
"2019/07";"155";"Via Emilia tra San Lazzaro e Idice";"31";"426.772";"23";"414.897";"11.852";"308.612";"118.160";"332.595";"94.177";"13.767";"1";"13.384";"382";"9.955";"3.812";"14.461";"11.772"
"2019/07";"156";"SP 253 tra la località Villanova e inizio variante Castenaso";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019/07";"157";"Via San Donato (ex SP 5) tra Granarolo dell'Emilia e Quarto Inferiore";"31";"308.547";"14";"301.294";"7.239";"226.249";"82.298";"244.872";"63.675";"9.953";"0";"9.719";"234";"7.298";"2.655";"10.647";"7.959"
"2019/07";"158";"SS 64 tra Bologna e Lovoleto";"31";"323.963";"36";"305.285";"18.642";"236.555";"87.408";"270.065";"53.898";"10.450";"1";"9.848";"601";"7.631";"2.820";"11.742";"6.737"
"2019/07";"160";"SP 18 tra Bargellino e Calderara di Reno (c/o Variante SP18)";"31";"471.902";"21";"433.373";"38.508";"357.500";"114.402";"398.722";"73.180";"15.223";"1";"13.980";"1.242";"11.532";"3.690";"17.336";"9.148"
"2019/07";"161";"SP 568 da Tavernelle all'intersezione della SP3";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019/07";"177";"NSA 313 - Prosecuzione tangenziale di Bologna complanare sud alla A 14 nel tratto San Lazzaro/Idice";"31";"514.728";"22";"493.112";"21.594";"381.124";"133.604";"394.255";"120.473";"16.604";"1";"15.907";"697";"12.294";"4.310";"17.142";"15.059"
"2019/07";"215";"SP 3_1 tra accesso interporto Bologna e viadotto A 13";"25";"572.233";"0";"445.972";"126.261";"376.344";"195.889";"495.249";"76.984";"22.889";"0";"17.839";"5.050";"15.054";"7.836";"26.066";"12.831"
"2019/07";"243";"SP 27 tra Ponte Samoggia e Muffa";"31";"213.447";"11";"203.693";"9.743";"154.284";"59.163";"168.177";"45.270";"6.885";"0";"6.571";"314";"4.977";"1.908";"7.312";"5.659"
"2019/07";"244";"SP 569 tra Pragatto e innesto variante Ponte Ronca";"31";"305.214";"18";"296.003";"9.193";"231.195";"74.019";"240.911";"64.303";"9.846";"1";"9.548";"297";"7.458";"2.388";"10.474";"8.038"
"2019/07";"246";"SP 255 da Decima a San Giovanni in Persiceto";"31";"407.784";"6";"379.921";"27.857";"296.965";"110.819";"331.486";"76.298";"13.154";"0";"12.256";"899";"9.580";"3.575";"14.412";"9.537"
"2019/07";"247";"SP 255 fra Nonantola e Sant'Agata Bolognese";"29";"249.664";"12";"216.257";"33.395";"185.586";"64.078";"199.079";"50.585";"8.609";"0";"7.457";"1.152";"6.400";"2.210";"9.480";"6.323"
"2019/07";"251";"SP 610 tra Imola e Casalfiumanese in località Ca' Miseria";"3";"37.181";"1";"34.968";"2.212";"28.229";"8.952";"37.181";"0";"12.394";"0";"11.656";"737";"9.410";"2.984";"12.394";"#DIV/0"
"2019/07";"252";"SP 3_2 tra Budrio e bivio SP 29 per Medicina";"31";"313.992";"41";"288.817";"25.134";"237.356";"76.636";"239.473";"74.519";"10.129";"1";"9.317";"811";"7.657";"2.472";"10.412";"9.315"
"2019/07";"253";"SP 253 dal bivio SP6 per Budrio a Medicina";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019/07";"254";"SS 9 tra Ozzano Emilia e Castel San Pietro";"31";"486.362";"26";"470.051";"16.285";"351.622";"134.740";"376.406";"109.956";"15.689";"1";"15.163";"525";"11.343";"4.346";"16.365";"13.745"
"2019/07";"255";"SS 9 tra Castel San Pietro e Imola";"29";"544.249";"119";"524.009";"20.121";"403.424";"140.825";"453.541";"90.708";"18.767";"4";"18.069";"694";"13.911";"4.856";"19.719";"15.118"
"2019/07";"256";"SP 302R tra Faenza (bivio SP 66) e Brisighella";"31";"269.091";"12";"261.522";"7.557";"187.400";"81.691";"198.467";"70.624";"8.680";"0";"8.436";"244";"6.045";"2.635";"8.629";"8.828"
"2019/07";"257";"SP 302R tra Faenza e il bivio SP 4 (a sud di Russi)";"31";"191.013";"6";"183.883";"7.124";"136.365";"54.648";"149.322";"41.691";"6.162";"0";"5.932";"230";"4.399";"1.763";"6.492";"5.211"
"2019/07";"274";"SS 64 ai confini provinciali di Bologna e Ferrara";"29";"232.685";"19";"219.601";"13.065";"171.219";"61.466";"198.213";"34.472";"8.024";"1";"7.572";"451";"5.904";"2.120";"8.618";"5.745"
"2019/07";"275";"SP 5 dall'intersezione SP 3 a intersezione per Ca' de Fabbri";"31";"289.716";"12";"276.186";"13.518";"216.001";"73.715";"238.084";"51.632";"9.346";"0";"8.909";"436";"6.968";"2.378";"10.351";"6.454"
"2019/07";"276";"SP 3_2 tra intersezione SP 5 e ponte torrente Idice";"31";"363.913";"0";"330.478";"33.435";"277.508";"86.405";"295.230";"68.683";"11.739";"0";"10.661";"1.079";"8.952";"2.787";"12.836";"8.585"
"2019/07";"277";"SP 6 tra Budrio e San Martino in Argine";"31";"209.888";"13";"196.313";"13.562";"153.378";"56.510";"171.528";"38.360";"6.771";"0";"6.333";"437";"4.948";"1.823";"7.458";"4.795"
"2019/07";"278";"SP 6 tra Budrio e bivio SP 253";"31";"364.714";"4";"346.421";"18.289";"273.445";"91.269";"300.327";"64.387";"11.765";"0";"11.175";"590";"8.821";"2.944";"13.058";"8.048"
"2019/07";"279";"SP 31 dal bivio SP 28 per Castenaso a Ponte Rizzoli";"30";"414.663";"19";"389.077";"25.567";"326.279";"88.384";"342.230";"72.433";"13.822";"1";"12.969";"852";"10.876";"2.946";"14.880";"10.348"
